    t;         P0;         P1;         P2;         P3;         P4;         P5;         P6;         P7;
   91;  [31]/S[9];       [28];       [26];       [29];  [25]/S[5];       [27]; [30]/S[15];      /R[5];
   92;       [31];       [28];       [26];       [29];       [25];  [27]/S[6];       [30];      /R[6];
   93;       [31];       [28];       [26];       [29];       [25];  [27]/S[6];       [30];      /R[6];
   94;       [31];       [28];       [26];       [29];       [25];       [27];  [30]/S[7];      /R[7];
   95;  [31]/S[9];       [28];       [26];       [29];       [25];       [27];       [30];      /R[9];
   96;  [31]/S[9];       [28];       [26];       [29];       [25];       [27];       [30];      /R[9];
   97;  [31]/S[9];       [28];       [26];       [29];       [25];       [27];       [30];      /R[9];
   98;       [31]; [28]/S[10];       [26];       [29];       [25];       [27];       [30];     /R[10];
   99;       [31]; [28]/S[10];       [26];       [29];       [25];       [27];       [30];     /R[10];
  100;       [31];       [28]; [26]/S[11];       [29];       [25];       [27];       [30];     /R[11];
  101;       [31];       [28]; [26]/S[11];       [29];       [25];       [27];       [30];     /R[11];
  102;       [31];       [28];       [26];       [29];       [25];       [27];       [30];  [32]/S[8];
  103;       [31];       [28];       [26];       [29];       [25];       [27];       [30];       [32];
  104;       [31];       [28];       [26];       [29];       [25];       [27];       [30];       [32];
  105;       [31];       [28];       [26];       [29];       [25];       [27];       [30];       [32];
  106;       [31];       [28];       [26];       [29];       [25];       [27];       [30];       [32];
  107;       [31];       [28];       [26];       [29];       [25];       [27];       [30];       [32];
  108;       [31];       [28];       [26];       [29];       [25];       [27];       [30];       [32];
  109;       [31];       [28];       [26];       [29];       [25];       [27];       [30];       [32];
  110;       [31];       [28];       [26];       [29];       [25];       [27];       [30];       [32];
  111;       [31];       [28];       [26];       [29];       [25];       [27];       [30];       [32];
  112;       [31];       [28];       [26];       [29];       [25];       [27];       [30];       [32];
  113;       [31];       [28];       [26];       [29];       [25];       [27];       [30];       [32];
  114;  [31]/S[1];  [28]/R[1];       [26];       [29];       [25];       [27];       [30];       [32];
  115;       [31];      /R[3];  [26]/S[3];       [29];           ;       [27];       [30];       [32];
  116;       [31];      /R[4];       [26];  [29]/S[4];           ;       [27];       [30];       [32];
  117; [31]/S[17];     /R[17];       [26];       [29];           ;           ;       [30];       [32];
  118;       [31];     /R[19];       [26];           ;     /S[19];           ;       [30];       [32];
  119;       [31];     /R[20];       [26];           ;           ;     /S[20];       [30];       [32];
  120;       [31];       [33];           ;           ;           ;           ;       [30];       [32];
  121;       [31];       [33];           ;           ;           ;           ;       [30];       [32];
  122;       [31];       [33];           ;           ;           ;           ;       [30];       [32];
  123;       [31];       [33];           ;           ;           ;           ;       [30];       [32];
  124;       [31];       [33];           ;           ;           ;           ;       [30];       [32];
  125;       [31];       [33];           ;           ;           ;           ;       [30];       [32];
  126;       [31];       [33];           ;           ;           ;           ;       [30];       [32];
  127;       [31];       [33];           ;           ;           ;           ;       [30];       [32];
  128;       [31];       [33];           ;           ;           ;           ;           ;       [32];
  129;           ;       [33];           ;           ;           ;           ;           ;       [32];
  130;           ;       [33];           ;           ;           ;           ;           ;       [32];
  131;           ;       [33];           ;           ;           ;           ;           ;       [32];
  132;           ;       [33];           ;           ;           ;           ;           ;       [32];
  133;           ;       [33];           ;           ;           ;           ;           ;       [32];
  134;     /R[33]; [33]/S[33];           ;           ;           ;           ;           ;       [32];
  135;       [34];     /R[21];     /S[21];           ;           ;           ;           ;       [32];
  136;       [34]; [35]/S[33];     /R[25];     /R[33];     /S[25];           ;           ;       [32];
  137;       [34]; [35]/S[33];     /R[33];       [37];           ;           ;           ;       [32];
  138; [34]/R[18]; [35]/S[18];       [36];       [37];           ;           ;           ;       [32];
  139;     /R[33]; [35]/S[33];       [36];       [37];           ;           ;           ;       [32];
  140;       [38];     /R[22];       [36]; [37]/S[22];           ;           ;           ;       [32];
  141;       [38]; [39]/S[33]; [36]/R[33];     /R[30];           ;           ;     /S[30];       [32];
  142;       [38]; [39]/S[33];       [40];     /R[30];     /R[33];           ;     /S[30];       [32];
