    t;         P0;         P1;         P2;         P3;         P4;         P5;         P6;         P7;         P8;         P9;        P10;        P11;        P12;        P13;        P14;        P15;
   94;           ;       [29];       [24];       [23];       [27];       [30];           ;       [31];       [22];           ;       [28];           ;           ;           ;       [33];       [32];
   95;           ;       [29];       [24];       [23];       [27];       [30];           ;       [31];       [22];           ;       [28];           ;           ;           ;       [33];       [32];
   96;           ;       [29];       [24];       [23];       [27];       [30];           ;       [31];       [22];           ;       [28];           ;           ;           ;       [33];       [32];
   97;           ;       [29];       [24];       [23];       [27];       [30];           ;       [31];       [22];           ;       [28];           ;           ;           ;       [33];       [32];
   98;           ;       [29];       [24];       [23];       [27];       [30];           ;           ;       [22];           ;       [28];           ;           ;           ;       [33];       [32];
   99;           ;       [29];       [24];       [23];       [27];       [30];           ;           ;       [22];           ;       [28];           ;           ;           ;       [33];       [32];
  100;           ;           ;       [24];           ;       [27];       [30];           ;           ;       [22];           ;       [28];           ;           ;           ;       [33];       [32];
  101;           ;           ;       [24];           ;       [27];       [30];           ;           ;       [22];           ;       [28];           ;           ;           ;       [33];       [32];
  102;           ;           ;           ;           ;       [27];       [30];           ;           ;       [22];           ;       [28];           ;           ;           ;       [33];       [32];
  103;           ;           ;           ;           ;       [27];       [30];           ;           ;           ;           ;       [28];           ;           ;           ;       [33];       [32];
  104;           ;           ;           ;           ;           ;       [30];           ;           ;           ;           ;           ;           ;           ;           ;       [33];       [32];
  105;     /S[17];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ; [33]/R[17];       [32];
  106;     /S[17];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ; [33]/R[17];       [32];
  107;     /S[17];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ; [33]/R[17];       [32];
  108;           ;           ;           ;           ;           ;           ;           ;           ;           ;     /S[21];           ;     /S[25];     /R[21];     /R[25];       [34];       [32];
  109;           ;     /S[29];           ;           ;           ;           ;     /S[26];           ;     /R[29];           ;           ;     /R[26];     /R[33];     /R[33]; [34]/S[33];       [32];
  110;           ;     /R[30];     /R[19];           ;           ;     /S[30];           ;           ;     /S[22];     /R[18];     /R[22];     /R[33]; [35]/S[19]; [36]/S[18]; [34]/S[33];       [32];
  111;           ;     /R[30];     /S[24];     /R[33];     /R[33];     /R[31];     /R[20];     /R[24];     /S[22];     /R[18];     /R[22];     /R[33]; [35]/S[19]; [36]/S[18]; [34]/S[20];       [32];
