    t;         P0;         P1;         P2;         P3;         P4;         P5;         P6;         P7;
  138;           ;       [28];           ;       [32];       [30];       [31];           ;       [33];
  139;           ;       [28];           ;       [32];       [30];       [31];           ;       [33];
  140;           ;       [28];           ;       [32];       [30];           ;           ;       [33];
  141;           ;       [28];           ;       [32];       [30];           ;           ;       [33];
  142;           ;           ;           ;       [32];       [30];           ;           ;       [33];
  143;           ;           ;           ;       [32];           ;           ;           ;       [33];
  144;           ;           ;           ;       [32];           ;           ;           ;       [33];
  145;           ;           ;           ;       [32];           ;           ;           ;       [33];
  146;     /S[17];           ;           ;       [32];           ;           ;           ; [33]/R[17];
  147;     /S[17];           ;           ;           ;           ;           ;           ; [33]/R[17];
  148;     /S[17];           ;           ;           ;           ;           ;           ; [33]/R[17];
  149;           ;           ;           ;     /R[21];           ;           ;           ; [34]/S[21];
  150;     /S[25];           ;           ;     /R[33];           ;     /R[25];           ; [34]/S[33];
  151;     /S[25];           ;     /S[29];       [35];           ;     /R[25];     /R[29];       [34];
  152;           ;     /R[18];     /S[18];       [35];           ;     /R[33];     /R[33]; [34]/S[33];
  153;     /R[26];     /S[19];     /R[22]; [35]/R[23];     /R[33]; [36]/S[23]; [37]/S[22];     /R[19];
  154;     /R[26];     /S[19];     /R[33]; [35]/R[23];     /R[33]; [36]/S[23];       [37];     /R[19];
  155;     /R[26];     /R[33];     /R[33];     /R[33];       [41]; [36]/R[27]; [37]/S[27]; [42]/S[33];
  156;     /R[33];       [38]; [39]/S[18]; [43]/S[20]; [41]/R[20]; [36]/R[27]; [37]/S[27]; [42]/S[33];
  157;     /R[33];       [38];       [39]; [43]/S[20]; [41]/R[20];     /S[31];     /R[31]; [42]/S[33];
  158;     /R[33];       [38];       [39]; [43]/S[20]; [41]/R[20]; [44]/S[31];     /R[31]; [42]/S[33];
  159;       [40];       [38]; [39]/R[32]; [43]/S[32];     /S[24];       [44];     /R[33];     /R[24];
  160;       [40];     /R[33];     /R[33];           ;     /S[24];       [44];       [45];     /S[33];
  161;       [40];     /R[33];     /R[33];           ;     /R[33];       [44];       [45]; [47]/S[33];
  162;       [40];       [48];       [49];           ;     /R[33];           ;       [45]; [47]/S[21];
  163;           ;       [48];       [49];           ;       [46];           ;       [45]; [47]/S[33];
  164;           ;       [48];       [49];           ;       [46];           ;           ; [47]/S[33];
  165;     /R[34]; [48]/R[39]; [49]/S[39];     /S[43];       [46];           ;           ;     /R[43];
  166;     /R[34];     /R[39];     /S[39];           ;       [46];     /S[44];           ;     /R[44];
  167;     /S[40];     /R[40];           ;           ;           ;           ;     /S[45];     /R[45];
  168;     /R[35];     /R[41];           ;     /S[35];     /S[41];           ;           ; [52]/S[34];
  169;     /R[35];     /R[41];           ;     /S[35];     /S[41];           ;           ; [52]/S[34];
  170;     /R[36];       [51];           ;           ;           ;     /S[36];           ; [52]/S[34];
