    t;         P0;         P1;         P2;         P3;         P4;         P5;         P6;         P7;
   83;       [27];      /R[4];  [19]/S[3];  [26]/S[4];      /R[8];      /R[3];       [25];  [28]/S[8];
   84;  [27]/S[1];      /R[5];      /R[1];  [26]/S[4];      /S[5];      /R[4];       [25];  [28]/S[8];
   85;       [27];      /S[2];      /R[2];  [26]/S[4];      /S[5];      /R[4];           ;       [28];
   86;       [27];      /S[2];      /R[2];       [26];      /S[5];      /S[6];           ;       [28];
   87;       [27];      /R[7];      /R[4];  [26]/S[4];     /R[11];      /R[8];      /S[7];  [28]/S[8];
   88;  [27]/S[9];      /R[7];      /R[6];       [26];     /R[11];      /S[6];      /S[7];       [28];
   89;  [27]/S[9];      /R[7];      /R[6]; [26]/S[12];     /R[12];      /S[6];      /S[7];       [28];
   90;       [27];      /R[8];      /R[6]; [26]/S[12];     /R[12];      /S[6];           ;  [28]/S[8];
   91;       [27];      /R[8];      /R[7]; [26]/S[12];     /R[12];     /R[11];      /S[7];  [28]/S[8];
   92;  [27]/S[9];      /R[9];      /R[9];       [26];       [29];     /R[11];           ;       [28];
   93;       [27];     /S[10];     /R[10]; [26]/S[12];       [29];     /R[12];           ;       [28];
   94;       [27]; [31]/S[10];     /R[10]; [26]/S[12];       [29];     /R[12];           ;       [28];
   95;       [27];       [31];       [32];       [26];       [29];       [30];           ;       [28];
   96;       [27]; [31]/S[10];       [32];       [26];       [29];       [30];           ;       [28];
   97;  [27]/S[1]; [31]/S[10];       [32];  [26]/R[1];       [29];       [30];           ;       [28];
   98;  [27]/S[1];       [31]; [32]/S[11];      /R[1];       [29];       [30];           ;       [28];
   99;       [27];  [31]/S[2]; [32]/S[11];      /R[2];       [29];       [30];           ;       [28];
  100;       [27];       [31];  [32]/S[3];      /R[3];       [29];       [30];           ;       [28];
  101;           ;       [31]; [32]/S[11];     /R[17];       [29];       [30];           ;       [28];
  102;           ;       [31]; [32]/S[11];     /R[17];       [29];       [30];           ;       [28];
  103;           ; [31]/S[18]; [32]/S[11];     /R[18];       [29];       [30];           ;       [28];
  104;           ;       [31]; [32]/S[19];     /R[19];       [29];       [30];           ;       [28];
  105;           ;       [31];       [32];     /R[20];       [29];       [30];     /S[20];       [28];
  106;           ;       [31];       [32];     /R[20];       [29];       [30];     /S[20];           ;
  107;           ;       [31];       [32];       [33];       [29];       [30];           ;           ;
  108;           ;       [31];       [32];       [33];       [29];       [30];           ;           ;
  109;           ;       [31];       [32];       [33];       [29];       [30];           ;           ;
  110;           ;       [31];       [32];       [33];       [29];       [30];           ;           ;
  111;           ;       [31];       [32];       [33];       [29];       [30];           ;           ;
  112;           ;       [31];       [32];       [33];       [29];       [30];           ;           ;
  113;           ;       [31];       [32];       [33];       [29];       [30];           ;           ;
  114;           ;       [31];       [32];       [33];       [29];       [30];           ;           ;
  115;           ;       [31];       [32];       [33];       [29];       [30];           ;           ;
  116;     /S[17];       [31];       [32]; [33]/R[17];       [29];       [30];           ;           ;
  117;     /S[17];       [31];       [32]; [33]/R[17];       [29];       [30];           ;           ;
  118;           ;       [31];       [32]; [34]/S[21];       [29];       [30];           ;     /R[21];
  119;           ;       [31];       [32]; [34]/S[33];       [29];       [30];           ;     /R[33];
  120;           ;       [31];       [32]; [34]/R[25];       [29];       [30];     /S[25];       [35];
