    t;         P0;         P1;         P2;         P3;         P4;         P5;         P6;         P7;
   87;  [27]/S[9];      /R[9];       [26];      /R[9];  [29]/S[5];      /R[8];           ;  [28]/S[8];
   88;  [27]/S[9];     /R[11]; [26]/S[11];      /R[9];  [29]/S[5];      /R[8];           ;  [28]/S[8];
   89;  [27]/S[9];  [32]/S[2];       [26];     /R[10];       [29];      /R[9];           ;  [28]/S[8];
   90;  [27]/S[9];  [32]/S[2];       [26];       [31]; [29]/S[13];      /R[9];           ;       [28];
   91;  [27]/S[9];       [32];       [26];       [31]; [29]/S[13];      /R[9];           ;       [28];
   92;  [27]/S[1];       [32]; [26]/S[11]; [31]/S[12];       [29];     /R[11];      /R[1];       [28];
   93;  [27]/S[1];       [32];       [26]; [31]/S[12];       [29];     /R[12];      /R[1];       [28];
   94;       [27];  [32]/S[2];       [26];       [31];       [29]; [30]/S[14];      /R[2]; [28]/S[16];
   95;       [27];  [32]/S[2];           ;  [31]/S[4];       [29]; [30]/S[14];      /R[2]; [28]/S[16];
   96;       [27];       [32];      /S[3];       [31];       [29]; [30]/S[14];      /R[3]; [28]/S[16];
   97;       [27]; [32]/S[10];      /S[3];       [31];       [29];       [30];      /R[3];       [28];
   98;       [27];       [32];           ;  [31]/S[4];       [29];       [30];      /R[4];       [28];
   99; [27]/S[17];       [32];           ;       [31];       [29];       [30];     /R[17];       [28];
  100; [27]/S[17];       [32];           ;       [31];       [29];       [30];     /R[17];       [28];
  101;       [27]; [32]/S[18];           ;       [31];       [29];       [30];     /R[18];       [28];
  102;       [27]; [32]/S[18];           ;       [31];       [29];       [30];     /R[18];       [28];
  103;       [27];       [32];           ; [31]/S[19];       [29];       [30];     /R[19];       [28];
  104;       [27];       [32];           ; [31]/S[12];       [29];       [30];       [33];       [28];
  105;       [27];       [32];           ;       [31];       [29];       [30];       [33];       [28];
  106;       [27];       [32];           ;       [31];       [29];       [30];       [33];       [28];
  107;       [27];       [32];           ;       [31];       [29];       [30];       [33];       [28];
  108;       [27];       [32];           ;       [31];       [29];       [30];       [33];       [28];
  109;       [27];       [32];           ;       [31];       [29];       [30];       [33];       [28];
  110;       [27];       [32];           ;       [31];       [29];       [30];       [33];       [28];
  111;       [27];       [32];           ;       [31];       [29];       [30];       [33];       [28];
  112;       [27];       [32];           ;       [31];           ;       [30];       [33];           ;
  113;     /S[17];       [32];           ;       [31];           ;       [30]; [33]/R[17];           ;
  114;     /S[17];       [32];           ;       [31];           ;       [30]; [33]/R[17];           ;
  115;     /R[21];       [32];     /S[21];       [31];     /R[25];       [30]; [34]/S[25];           ;
  116;     /R[21];       [32];     /S[21];       [31];     /R[33];       [30]; [34]/S[33];           ;
  117;     /R[33];       [32];           ;       [31];       [36];       [30]; [34]/S[33];           ;
  118;     /R[33];           ;           ;       [31]; [36]/S[29];       [30];     /R[29];           ;
  119;       [35];           ;           ;           ;       [36];       [30]; [37]/S[33];           ;
  120;       [35];     /S[18];           ;     /R[18];     /R[33];       [30]; [37]/S[33];           ;
  121;       [35];           ;           ;     /R[33];       [39];       [30]; [37]/S[33];           ;
  122;           ;           ;     /S[26];       [38];       [39];       [30];     /R[26];           ;
  123;           ;           ;     /S[26];       [38];       [39];           ;     /R[26];           ;
  124;           ;           ;           ; [38]/R[30];           ;     /S[30];       [40];           ;
  125;     /S[27];           ;           ;     /S[31];     /R[23];     /R[27]; [40]/S[33];     /R[31];
  126;     /S[27];     /R[20];     /R[24]; [41]/S[19];     /R[23];     /R[27]; [40]/S[20];     /S[24];
  127;     /S[27];     /R[20];     /R[24];       [41];     /R[33];     /R[27];     /R[28]; [45]/S[28];
  128;     /R[33];     /R[21];     /R[24];       [41];       [43];     /R[33]; [48]/S[20]; [45]/S[24];
  129;       [42];     /S[32];     /R[33];     /R[32];       [43]; [44]/S[23]; [48]/S[33];       [45];
