    t;         P0;         P1;         P2;         P3;         P4;         P5;         P6;         P7;         P8;         P9;        P10;        P11;        P12;        P13;        P14;        P15;
   95; [34]/S[33]; [35]/S[24];       [27];     /R[18];     /S[29];           ;     /R[33];       [31];     /R[29];       [23];     /R[19];     /R[24];     /R[20];     /S[20];     /S[19];           ;
   96;     /S[33]; [35]/S[24];     /R[33];     /S[32];       [36];     /R[33];     /S[28];     /R[33];     /R[33];       [23];     /R[33];     /R[24];     /R[20];     /R[28];     /R[32];           ;
   97;     /S[33]; [35]/S[24];     /R[33];     /S[32];       [36];     /R[33];     /S[28];     /R[33];       [37];     /R[33];     /S[21];     /R[24];     /R[21];     /R[28];     /R[32];           ;
   98;     /S[33];           ;       [44]; [38]/S[32];       [36];     /R[33];       [40];     /R[33]; [37]/S[22];     /R[33];     /S[21];     /R[33];     /R[21];     /R[33];     /R[32];           ;
   99; [39]/S[33];           ;       [44];       [38];           ;       [41];       [40];       [45];       [37];     /R[33]; [42]/S[21];     /R[33];     /R[21];     /R[33];     /R[33];           ;
  100; [39]/S[33];           ;       [44];       [38];           ;       [41];       [40];       [45];           ;       [43];       [42];     /R[33];     /R[33];     /R[33];     /R[33];           ;
  101; [39]/S[33];           ;           ;           ;           ;       [41];           ;       [45];           ;       [43];       [42];     /R[33];     /R[33];     /R[33];     /R[33];           ;
  102;     /R[35];     /S[35];           ;           ;           ;           ;           ;           ;           ;       [43];           ;       [47]; [46]/S[18]; [48]/S[20];       [49];           ;
  103;     /R[36];           ;           ;           ;     /S[36];           ;           ;           ;           ;           ;           ;       [47];       [46];       [48];       [49];           ;
  104;     /R[37];           ;           ;           ;           ;           ;           ;           ;     /S[37];     /R[42];     /S[42];       [47];       [46];       [48];       [49];           ;
  105;       [50];           ;           ;           ;           ;           ;           ;           ;           ;     /R[42];     /S[42];           ;           ;           ;           ;           ;
  106;       [50];           ;           ;           ;           ;           ;           ;           ;           ;     /R[42];     /S[42];           ;           ;           ;           ;           ;
